GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,Naive,real,t
0.601438344,0.621344149,0.588166356,0.433832192,0.602470577,0.415876081,0.615205388,0.615157512,93
0.597437859,0.626877725,0.599025071,0.449449232,0.609954476,0.414190239,0.615157512,0.615955443,94
0.609065175,0.633161485,0.611746132,0.469962188,0.59207648,0.409477257,0.615955443,0.626583895,95
0.636039972,0.646710575,0.61792469,0.471311746,0.59910661,0.417674295,0.626583895,0.635807986,96
0.649299979,0.657857418,0.621015966,0.459431687,0.60590291,0.433124198,0.635807986,0.630924643,97
0.643344164,0.658388793,0.62228632,0.460908419,0.597401023,0.442459994,0.630924643,0.638425202,98
0.642657161,0.659650087,0.632235587,0.477620402,0.587591171,0.439079342,0.638425202,0.648862149,99
0.657144189,0.668843389,0.638378441,0.490972142,0.607802212,0.446778679,0.648862149,0.646244933,100
0.684914351,0.67645663,0.641348183,0.4755674,0.582997918,0.451163175,0.646244933,0.658660751,101
0.67490381,0.680500031,0.64434737,0.476803639,0.615616739,0.4424818,0.658660751,0.634307874,102
0.668788671,0.674356818,0.644331992,0.46195731,0.55960232,0.457756223,0.634307874,0.627158405,103
0.663134158,0.664987445,0.637719691,0.461117866,0.591063619,0.428428617,0.627158405,0.562892981,104
0.651814342,0.642450213,0.612784088,0.409592822,0.538541973,0.406499547,0.562892981,0.525757237,105
0.616844058,0.600991726,0.584867001,0.382913804,0.526955545,0.401221987,0.525757237,0.536289936,106
0.561307728,0.569737375,0.566097498,0.362470921,0.518018663,0.429185945,0.536289936,0.483482813,107
0.539921284,0.525933862,0.520415187,0.341488605,0.551473498,0.435233541,0.483482813,0.441559478,108
0.53517282,0.473407328,0.491505742,0.290873148,0.478301644,0.429148896,0.441559478,0.444479908,109
0.461135298,0.428047657,0.467793226,0.29005824,0.586450756,0.387144353,0.444479908,0.455666911,110
0.436274111,0.400332808,0.461894989,0.311918487,0.508630097,0.392415901,0.455666911,0.471370208,111
0.434521198,0.410494298,0.449766695,0.350785018,0.634013593,0.39606984,0.471370208,0.435144106,112
0.459227741,0.422427684,0.444350094,0.325681119,0.555030048,0.37204129,0.435144106,0.386087262,113
0.462926298,0.399304807,0.426016539,0.300234422,0.523652256,0.397870413,0.386087262,0.279659124,114
0.471185476,0.330204248,0.379553616,0.201860455,0.351503581,0.396596357,0.279659124,0.240209377,115
0.378446192,0.240721881,0.311555505,0.173925773,0.483133674,0.405032028,0.240209377,0.23620376,116
0.283197284,0.183349848,0.284866959,0.182861641,0.376308799,0.413859518,0.23620376,0.069356229,117
0.325029403,0.121839643,0.186402112,0.12799808,0.287783951,0.43074532,0.069356229,0.107449491,118
0.194693089,0.094980478,0.141990244,0.131586859,0.519375741,0.425397538,0.107449491,0.024081581,119
0.162795424,0.068811715,0.106677711,0.095003896,0.094846472,0.454955949,0.024081581,0.08652772,120
0.075769067,0.060542703,0.070621356,0.153478602,0.555715084,0.46389402,0.08652772,0.050828253,121
0.064315081,0.073752761,0.074779481,0.132476453,0.299101591,0.472294499,0.050828253,0.070138202,122
0.062180161,0.082901061,0.061041683,0.163178128,0.450836182,0.474747666,0.070138202,0.077718554,123
0.084636331,0.096918583,0.084228441,0.130471253,0.27868858,0.484758982,0.077718554,0.043710702,124
0.05616951,0.089943945,0.05717954,0.146748643,0.447371423,0.48273556,0.043710702,0.121445214,125
0.057676375,0.104457319,0.097502932,0.165714814,0.210439563,0.495359727,0.121445214,0.157368102,126
0.077506006,0.128408134,0.115715235,0.185966969,0.498995185,0.509348207,0.157368102,0.171858543,127
0.126009941,0.153226018,0.131182015,0.20326598,0.418801934,0.511461022,0.171858543,0.131116147,128
0.17367959,0.158316255,0.143391788,0.199484735,0.326995224,0.501475837,0.131116147,0.112284957,129
0.19478339,0.159823716,0.140244275,0.190346929,0.300158679,0.512632507,0.112284957,0.132313045,130
0.171794534,0.165431082,0.145361409,0.177019861,0.281362087,0.523864532,0.132313045,0.099438256,131
0.161063194,0.157112718,0.124258496,0.172431655,0.29850769,0.528086519,0.099438256,0.098592448,132
0.159988165,0.151254117,0.116922982,0.175282977,0.235360831,0.520752665,0.098592448,0.099789346,133
0.141302168,0.151100159,0.116864592,0.173730451,0.285837948,0.514824998,0.099789346,0.141712681,134
0.141530871,0.162814319,0.12859869,0.186523347,0.293532908,0.541412403,0.141712681,0.166879448,135
0.158342361,0.175700545,0.14815563,0.192687898,0.349217176,0.539768083,0.166879448,0.158868214,136
0.178162575,0.1806674,0.146896094,0.211384067,0.38006413,0.53185606,0.158868214,0.177827072,137
0.218027592,0.192678094,0.174314916,0.209557585,0.2505337,0.553721836,0.177827072,0.183891354,138
0.222444415,0.200465202,0.180629373,0.20389419,0.402137101,0.544656352,0.183891354,0.140946666,139
0.228854537,0.18682158,0.167104974,0.181562879,0.263309777,0.536002591,0.140946666,0.128802145,140
0.194263041,0.16622144,0.152483881,0.183664904,0.298198313,0.556847545,0.128802145,0.146739651,141
0.164981782,0.163837433,0.156114101,0.183373713,0.27713573,0.591411618,0.146739651,0.139669975,142
0.161538601,0.166153193,0.142251313,0.198177421,0.375105143,0.589634517,0.139669975,0.108295299,143
0.197160542,0.168122709,0.135249674,0.19094809,0.245013833,0.595714176,0.108295299,0.12184418,144
0.191384196,0.172360957,0.136036381,0.191975961,0.294080079,0.613500747,0.12184418,0.126105135,145
0.184209883,0.179572165,0.139211193,0.189816427,0.263135552,0.624373105,0.126105135,0.104943985,146
0.211714983,0.179117322,0.128550068,0.189506993,0.252584636,0.630534534,0.104943985,0.123759216,147
0.203241646,0.183037281,0.132896245,0.19352708,0.264624715,0.644508005,0.123759216,0.140451949,148
0.203841269,0.189375997,0.149681509,0.185418682,0.226648003,0.649487293,0.140451949,0.175449236,149
0.196435571,0.193477511,0.157924116,0.195787589,0.353942454,0.645547246,0.175449236,0.154160416,150
0.204084039,0.18457526,0.162850961,0.179716765,0.274150044,0.615571955,0.154160416,0.114423415,151
0.190646052,0.161525905,0.138552561,0.181786559,0.328809053,0.633665003,0.114423415,0.126296639,152
0.160470605,0.156188607,0.145335525,0.184437216,0.239467323,0.614083896,0.126296639,0.114168076,153
0.15690583,0.159534752,0.132159621,0.193345192,0.332760245,0.603721359,0.114168076,0.123615588,154
0.189907193,0.174488246,0.131887123,0.198232386,0.273845196,0.625515727,0.123615588,0.131945996,155
0.200429201,0.1870206,0.138930827,0.20170214,0.301746935,0.608474463,0.131945996,0.11424787,156
0.238499343,0.190970004,0.141259372,0.18713098,0.204168797,0.632646646,0.11424787,0.128690434,157
0.212941289,0.187309444,0.137283161,0.189941103,0.303119838,0.617626237,0.128690434,0.107736746,158
0.202577651,0.178100586,0.138669536,0.171705002,0.169232816,0.626122284,0.107736746,0.094044237,159
0.186400175,0.161932945,0.11933127,0.169938323,0.278084606,0.611551207,0.094044237,0.082761482,160
0.145477951,0.150388122,0.110501647,0.164311883,0.224927336,0.620490367,0.082761482,0.131339568,161
0.127979696,0.155566871,0.122014247,0.184797048,0.264118195,0.602779066,0.131339568,0.104177971,162
0.179989517,0.156462789,0.138957292,0.144806721,0.232206643,0.606228843,0.104177971,0.116067154,163
0.122307003,0.133679211,0.104702398,0.150755541,0.429355323,0.612239354,0.116067154,0.11646612,164
0.095141411,0.121059,0.124510996,0.160963119,0.195715815,0.597954007,0.11646612,0.118285404,165
0.119549453,0.123685837,0.115321942,0.189662821,0.399751574,0.594242476,0.118285404,0.14370751,166
0.122201264,0.148976803,0.127280325,0.197819845,0.415611535,0.599727378,0.14370751,0.167182663,167
0.172474027,0.167301536,0.159501195,0.179240346,0.243741214,0.596794796,0.167182663,0.194408094,168
0.184813082,0.167800725,0.171969935,0.166088399,0.447304785,0.611788161,0.194408094,0.202323577,169
0.16299051,0.156049848,0.170369208,0.171321597,0.418770194,0.584280113,0.202323577,0.181960359,170
0.289400995,0.132500589,0.199079752,0.120929683,0.195907146,0.576103598,0.181960359,0.201892694,171
0.169292092,0.115743756,0.161391526,0.175231789,0.706495643,0.582702057,0.201892694,0.231687466,172
0.205866933,0.1230281,0.236260533,0.191743239,0.09646897,0.594725826,0.231687466,0.266525167,173
0.217318356,0.154252529,0.205080047,0.246152379,0.694677472,0.595387583,0.266525167,0.25701382,174
0.257121205,0.192206562,0.23188521,0.186987661,0.438482881,0.599878274,0.25701382,0.305815327,175
0.283835799,0.191211045,0.255842686,0.194717237,0.507545531,0.615060033,0.305815327,0.309565606,176
0.304239422,0.192578971,0.269356608,0.19635962,0.561361194,0.622141955,0.309565606,0.286617089,177
0.315022886,0.185354114,0.275526315,0.221252652,0.558537841,0.618199687,0.286617089,0.272509655,178
0.299771696,0.191273212,0.289337635,0.238400959,0.531544685,0.603577758,0.272509655,0.210925282,179
0.306512415,0.186886609,0.254928023,0.204759171,0.452308893,0.581737532,0.210925282,0.213271201,180
