GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,real,t
0.36575529,0.4945696,0.43248415,0.271239127,0.528737307,0.823596205,0.447575883,505
0.37096107,0.491277874,0.438100278,0.26604971,0.530702591,0.807827286,0.430739523,506
0.230003983,0.413386703,0.432077587,0.281494696,0.564505398,0.813675445,0.44679391,507
0.489441037,0.523607194,0.456742346,0.210834898,0.551086545,0.819421956,0.455156235,508
0.527656794,0.457273126,0.43997854,0.248308923,0.562192857,0.874202819,0.4660879,509
0.633764803,0.455461413,0.44203347,0.337812197,0.541476607,0.87378642,0.465481472,510
0.495946974,0.489615202,0.458757877,0.288359158,0.535299003,0.896907554,0.486195781,511
0.45401898,0.503633857,0.459369481,0.292943177,0.533895671,0.875179981,0.448932367,512
0.428653955,0.49999553,0.473506033,0.308501978,0.538429081,0.876918574,0.466486866,513
0.425194085,0.523572683,0.455322683,0.30113453,0.540388584,0.871842935,0.45322524,514
0.445653379,0.510138273,0.466348588,0.294565278,0.538578689,0.889854416,0.453735917,515
0.469368786,0.509848773,0.447241724,0.313256617,0.542753518,0.886436259,0.452491143,516
0.459882766,0.501859725,0.455674589,0.290444882,0.536678016,0.895709244,0.474147011,517
0.455164164,0.506122291,0.44852668,0.290497338,0.535960615,0.905421569,0.449826051,518
0.449228764,0.494142085,0.461111963,0.295779942,0.536453009,0.921000098,0.479796368,519
0.432442784,0.509318829,0.450474143,0.293918903,0.537157118,0.907085011,0.478551594,520
0.425529212,0.49930501,0.47181803,0.292296832,0.538359582,0.922591428,0.469614759,521
0.471086293,0.520734489,0.468371928,0.303189383,0.538963377,0.923040328,0.475503495,522
0.468601078,0.514635801,0.469584763,0.30709883,0.535069823,0.943354788,0.466806039,523
0.464006841,0.513756216,0.46798861,0.332658186,0.53308022,0.914034102,0.473764004,524
0.419659466,0.518671811,0.462069154,0.313876579,0.536606312,0.930536946,0.485254221,525
0.434918433,0.518357694,0.46984607,0.299101498,0.535805285,0.89987762,0.475519454,526
0.442229509,0.508441389,0.472368538,0.320354451,0.544242263,0.861686011,0.485142511,527
0.486884296,0.528431654,0.476922929,0.310775382,0.53573209,0.869191356,0.488589576,528
0.460844159,0.516225815,0.477147698,0.323638253,0.540432274,0.873492437,0.47684402,529
0.49141854,0.524441838,0.480486393,0.340725896,0.535853088,0.869204892,0.470795698,530
0.4479177,0.527714729,0.475527048,0.321626368,0.536887765,0.874009759,0.4731097,531
0.464872092,0.526308835,0.469669282,0.32741572,0.533034146,0.886542525,0.485988318,532
0.447957098,0.518369079,0.464695215,0.328049247,0.534671485,0.90780701,0.481312438,533
