Date,Close,Open,Max,Min,Volume
24-11-2021,8792,8827.5,8865.6,8759.2,174.08
23-11-2021,8815.1,8763,8873.4,8700.1,196.12
22-11-2021,8821.3,8774.1,8846.3,8737.3,204.21
19-11-2021,8753.2,8942,8954.3,8713.2,278.7
18-11-2021,8903.2,8984.7,9013.2,8885.8,181.6
17-11-2021,8993.4,9042.9,9046.3,8993.4,139.17
16-11-2021,9040.2,9086.1,9118,9037.5,155.28
15-11-2021,9095.7,9036.1,9104.7,8992.4,144.11
12-11-2021,9080.8,9079.6,9093.6,9045.2,119.66
11-11-2021,9092.2,9127.9,9164.1,9079,150.33
10-11-2021,9141.8,9059.6,9150.7,9059.6,146.84
09-11-2021,9074.9,9051,9128.5,9043.3,132.15
08-11-2021,9070.8,9133.1,9156.6,9069.5,135.35
05-11-2021,9130.6,9038,9164.1,9001.2,193.27
04-11-2021,9039.4,9054.3,9096.2,9011.3,221.41
03-11-2021,9030.8,9084.5,9084.8,8989.5,162.88
02-11-2021,9105.7,9160.6,9162.3,9102,130.17
01-11-2021,9182.6,9064.6,9198.1,9061.6,164.89
29-10-2021,9057.7,9002.6,9057.7,8944.5,228.79
28-10-2021,9025.8,8958.9,9030.2,8918,180.33
27-10-2021,8972.3,8995.1,8999.1,8925.6,167.91
26-10-2021,9001.6,8925.5,9026.5,8915.7,137.32
25-10-2021,8920.9,8932.8,8963.7,8891.9,159.72
22-10-2021,8906.4,8952.2,8959.7,8906.4,134.36
21-10-2021,8944.3,8964.6,8989.7,8928.3,153.31
20-10-2021,9017.9,8966.6,9038,8958.9,160.13
19-10-2021,8996.3,8959.5,9020,8943.2,160.87
18-10-2021,8936,8984.4,8994.6,8885.4,139.68
15-10-2021,8997,8969.5,9016.5,8944.1,217.37
14-10-2021,8925,8944.5,9001.2,8889.1,155.21
13-10-2021,8881.4,8915.7,8928,8861.4,191.88
12-10-2021,8935.9,8807.7,8935.9,8759.8,163.37
11-10-2021,8899,8929.4,8965.7,8875.5,125.07
08-10-2021,8955,8964.9,9000.8,8931.8,141.24
07-10-2021,8962.8,8880.6,8974.3,8877.2,201.22
06-10-2021,8775,8884.9,8884.9,8723.8,183.95
05-10-2021,8927.4,8803.2,8927.4,8784.8,169.71
04-10-2021,8791.7,8801.7,8882.1,8770.1,149.56
01-10-2021,8799.5,8693.4,8807.7,8654.8,182.24
30-09-2021,8796.3,8943.7,8954.6,8785,195.05
29-09-2021,8879.4,8820.5,8895.7,8784,178.66
28-09-2021,8769.4,9014.3,9034.7,8769.4,207.45
27-09-2021,9002.9,8925.1,9011.9,8881.2,203.43
24-09-2021,8873.1,8848.5,8898.3,8835.5,140.56
23-09-2021,8876.9,8882,8908.3,8853.9,151.03
22-09-2021,8808.4,8826.3,8841,8772.6,173.51
21-09-2021,8756,8710,8807.8,8710,194.81
20-09-2021,8655.4,8643.7,8690.3,8551.2,277.15
17-09-2021,8760.9,8789.7,8858.3,8760.9,588.04
16-09-2021,8733.7,8659.6,8757.4,8659.6,186.04
15-09-2021,8635.4,8756.7,8772.6,8629,178.1
14-09-2021,8780,8801.4,8848.1,8751.7,128.77
13-09-2021,8816.1,8724.2,8837.6,8721.4,115.68
10-09-2021,8695.3,8826.1,8832.6,8668.4,139.7
09-09-2021,8800.6,8783.4,8828.6,8725.2,149.89
08-09-2021,8838.7,8856.5,8912.5,8748.2,155.62
07-09-2021,8894.5,8889.9,8899.8,8848.5,114.24
06-09-2021,8882.3,8889.5,8915.9,8874.3,67.76
03-09-2021,8864,8981.5,8984.5,8852.6,139.73
02-09-2021,8981.4,8982.1,9020.7,8958,100.43
01-09-2021,8991.5,8923.7,9055.5,8923.7,132.65
31-08-2021,8846.6,8880.6,8913.2,8783.3,185.16
30-08-2021,8867.9,8925.7,8936.2,8853,54.12
27-08-2021,8922.2,8899.1,8924.1,8848.9,74.73
26-08-2021,8892.7,8945,8946.4,8890.1,101.74
25-08-2021,8977.4,8958.7,9000,8947.3,128.02
24-08-2021,8948.6,8996.1,9010.9,8884.3,101.64
23-08-2021,8968.1,8973.4,8989.9,8910.9,91.09
20-08-2021,8915.3,8893.7,8941.1,8851.5,126.92
19-08-2021,8902.2,8839.9,8952.2,8809.2,137.59
18-08-2021,8970.2,8852.7,8978.3,8845.9,112.29
17-08-2021,8865.7,8872.4,8880.2,8833.3,128.85
16-08-2021,8926.6,8933.7,8979.9,8900.2,96.31
13-08-2021,8999.8,8987.9,9015.7,8978.1,90.56
12-08-2021,8979.4,8974.1,8999.6,8961.5,98.15
11-08-2021,8975.8,8915.9,8981.5,8911.9,112.21
10-08-2021,8899,8867.6,8903.2,8842.4,106.39
09-08-2021,8865.9,8870.2,8893.7,8843.6,102.35
06-08-2021,8879,8839.9,8892.6,8796.8,139.02
05-08-2021,8836.5,8780,8842.3,8747.4,108.94
04-08-2021,8792.9,8806.6,8806.6,8735.4,117.42
03-08-2021,8772.8,8780.2,8824.2,8735.6,131.9
02-08-2021,8758.7,8723.3,8815.2,8723.3,140.85
30-07-2021,8675.7,8737.5,8753.5,8665.7,203.15
29-07-2021,8786.3,8765.1,8840.7,8753.8,188.72
28-07-2021,8733.7,8716.9,8774.6,8691.8,153.26
27-07-2021,8699.2,8723.7,8768.5,8651.7,131.61
26-07-2021,8775.2,8655.1,8786.7,8630.7,136.52
23-07-2021,8717.2,8657.4,8757.5,8652.1,123.29
22-07-2021,8621.8,8604.1,8683.7,8601.5,140.85
21-07-2021,8567,8390.9,8585.4,8384.3,160.92
20-07-2021,8358,8337.8,8384.8,8265.6,155.55
19-07-2021,8301.7,8450.9,8455.2,8252.2,212.39
16-07-2021,8506.2,8546.6,8607.4,8423.1,147.77
15-07-2021,8527,8626.4,8626.4,8507.4,131.27
14-07-2021,8658.3,8674.7,8712,8625.6,120.51
13-07-2021,8694.8,8824.3,8832.2,8676.7,133.85
12-07-2021,8816.7,8791.9,8822,8696.8,103.46
09-07-2021,8776.6,8680.8,8780.7,8654.5,141.62
08-07-2021,8650.1,8768.1,8772.9,8597.8,201.97
07-07-2021,8854.5,8877.9,8904.5,8826,150
06-07-2021,8860.8,8924.1,8959.9,8837.2,152.72
05-07-2021,8946.4,8900.5,8965.5,8862.4,100.8
02-07-2021,8907.6,8951.7,8968.1,8873.6,115.69
01-07-2021,8932.3,8862.3,8957.8,8862.2,122.72
30-06-2021,8821.2,8892.7,8903.7,8765.3,190.18
29-06-2021,8915.1,8897.4,8957.6,8884.8,142.24
28-06-2021,8913.7,9075.5,9083.5,8913.7,152.78
25-06-2021,9095,9101,9107.2,9034.6,130.34
24-06-2021,9074.1,9015.4,9098.1,8985.1,130.94
23-06-2021,8954.1,9072.2,9092.7,8954.1,112.81
22-06-2021,9053.3,9073.7,9073.7,8998.8,137.67
21-06-2021,9051.7,8970.1,9063.2,8906,167.38
18-06-2021,9030.6,9166.3,9185.4,8976.4,452.78
17-06-2021,9195.9,9178.8,9272,9170.7,203.7
16-06-2021,9202.2,9266.3,9274.6,9201,161.8
15-06-2021,9230.7,9310.8,9310.8,9220.7,119.44
14-06-2021,9281.1,9238.7,9302.7,9233,135.89
11-06-2021,9205,9144,9211.8,9131.1,107.06
10-06-2021,9133.8,9190.8,9205.1,9113.1,154.77
09-06-2021,9156.1,9157.2,9185,9128.8,124.74
08-06-2021,9153.6,9159.6,9204.8,9110.6,144.26
07-06-2021,9163.6,9076.1,9175.9,9042,129.66
04-06-2021,9088.3,9144.5,9158.8,9071.2,131.21
03-06-2021,9142.4,9179.8,9189.4,9086.6,164.22
02-06-2021,9180.7,9198.3,9216,9152,137.51
01-06-2021,9189.7,9167.3,9226.8,9137.2,143.12
31-05-2021,9148.9,9224.2,9226.1,9148.9,102.39
28-05-2021,9224.6,9237.8,9243.3,9204.3,192.32
27-05-2021,9186.1,9183.8,9254.7,9173.5,325.44
26-05-2021,9196.9,9232,9243.4,9144.9,160.83
25-05-2021,9208.7,9220.9,9245.6,9197,147.29
24-05-2021,9205.5,9230.4,9243.2,9170.8,91.84
21-05-2021,9204,9129.6,9223.9,9110.6,175.41
20-05-2021,9124.3,9112.1,9124.3,8997.2,138.31
19-05-2021,9070.7,9121.4,9164.7,8977.9,200.25
18-05-2021,9183.9,9214.2,9241.5,9127.2,176.04
17-05-2021,9155.6,9166.7,9203,9099.5,164.17
14-05-2021,9145.6,9036.3,9149,9005.9,161.36
13-05-2021,8966.2,8932.7,8989.6,8804.3,173.52
12-05-2021,9007.7,8990.2,9055.2,8953.4,195.76
11-05-2021,8987.2,9065.1,9078.7,8948.1,232.09
10-05-2021,9144.3,9121.5,9149.1,9061.1,237.08
07-05-2021,9059.2,9042,9065.9,8982.9,191.89
06-05-2021,8982.2,8982.6,9010.5,8912.2,188.33
05-05-2021,8967.8,8896.7,8967.8,8881.4,180.44
04-05-2021,8830.4,8906,9002.4,8811.9,231.9
03-05-2021,8893.7,8821.6,8904.7,8796.3,150.4
30-04-2021,8815,8822.3,8860.4,8808.6,267.61
29-04-2021,8823.2,8821.8,8869.9,8801.4,261.77
28-04-2021,8799.6,8779.1,8815.9,8717.6,218.2
27-04-2021,8756.7,8690.8,8756.7,8655.3,183.16
26-04-2021,8701.9,8629.9,8714.6,8590.6,163
23-04-2021,8618.6,8629.4,8674,8571.7,118.12
22-04-2021,8656.8,8548.6,8656.8,8527.5,136.38
21-04-2021,8519.8,8492.9,8566.3,8426.2,175.19
20-04-2021,8459.4,8699.4,8703.9,8450.7,214.62
19-04-2021,8711.4,8613.8,8741.4,8609.3,171.38
16-04-2021,8613.5,8585,8656.4,8553.6,176.86
